species	SD	H	DBH	Dwood			
Roupala_montana	abiotic	7.05	20.81	0.86			
Ruprechtia_laxiflora	abiotic	29.74	17.56	0.59			
Samanea_inopinata	biotic	13	19.6	0.78			
Sapindus_saponaria	biotic	9.49	15.95	0.71			
Sapium_argutum	biotic	6	3.93	0.417141			
Sapium_glandulosum	biotic	18.38	72.64	0.4			
Schinopsis_brasiliensis	abiotic	5	24	1.23			
Schinus_terebinthifolia	biotic	10.66	10	0.59			
Schoepfia_brasiliensis	biotic	6	6.44	0.72			
Sebastiania_jacobinensis	abiotic	3	10	0.655			
Senegalia_bahiensis	biotic	7	4.97	0.6			
Senegalia_loretensis	abiotic	25	29	0.6			
Senegalia_piauhiensis	biotic	3	12.1	0.74			
Senegalia_polyphylla	abiotic	17	18.7	0.67			
Senna_pendula	biotic	3.5	12.7	0.61			
Senna_spectabilis	biotic	10.9	19.55	0.48			
Sideroxylon_obtusifolium	biotic	7	10.83	0.77			
Simarouba_amara	biotic	18.15	34.77	0.37			
Simarouba_versicolor	biotic	11	5	0.48			
Siparuna_guianensis	biotic	10	8.45	0.57			
Sloanea_garckeana	biotic	7.33	10.16	0.763210901			
Sloanea_guianensis	biotic	20.25	42.36	0.82			
Solanum_asperum	biotic	9.48	23	0.411857			
Solanum_crinitum	biotic	2	2.3	0.24			
Solanum_melissarum	biotic	2	6	0.411857			
Solanum_stipulaceum	biotic	19.51	24	0.411			
Sorocea_hilarii	biotic	14	18.67	0.61			
Spondias_mombin	biotic	18.03	35.45	0.375			
Spondias_tuberosa	biotic	5	14.01	0.556			
Stryphnodendron_pulcherrimum	biotic	9.5	57.06	0.47			
Swartzia_flaemingii	biotic	8	4	0.848593			
Syagrus_coronata	biotic	4	25	0.55			
Syagrus_schizophylla	biotic	8	15	0.55			
Symphonia_globulifera	biotic	18	41.62	0.59			
Tabebuia_aurea	abiotic	6.4	16.5	0.76			
Tabebuia_elliptica	abiotic	25	30	0.762323			
Tabebuia_roseoalba	abiotic	7.45	14.69	0.762			
Tabebuia_stenocalyx	abiotic	40	12.45	0.55			
Tabernaemontana_catharinensis	biotic	16	7.42	0.34			
Tabernaemontana_laeta	biotic	6	5	0.51			
Tachigali_densiflora	abiotic	30.1	59.8	0.67			
Talipariti_pernambucense	biotic	4.5	10	0.571667			
Talisia_esculenta	biotic	7.76	16.97	0.91			
Tapirira_guianensis	biotic	16.32	41.69	0.47			
Ternstroemia_brasiliensis	biotic	7	16	0.47			
Thevetia_peruviana	biotic	3.5	15.3	0.72			
Thyrsodium_spruceanum	biotic	7	30.96	0.64			
Tocoyena_sellowiana	biotic	19.99	63	0.62			
Trichilia_elegans	biotic	12.72	9.72	0.788			
Trichilia_hirta	biotic	5.64	7.32	0.55			
Trichilia_lepidota	biotic	25	43	0.65			
Trichilia_silvatica	biotic	2.8	5	0.84			
Triplaris_gardneriana	biotic	28.12	39	0.63			
Urera_baccifera	biotic	3.95	4.26	0.16			
Urera_caracasana	biotic	10.27	31.65	0.31			
Vatairea_heteroptera	abiotic	20	60	0.672667			
Vismia_guianensis	biotic	7	8.92	0.475			
Vitex_gardneriana	biotic	7	13.7	0.565171			
Vitex_polygama	biotic	16	67	0.57			
Vitex_rufescens	biotic	19.56	67	0.565171			
Vochysia_lucida	abiotic	10	20.9	0.485665			
Ximenia_americana	biotic	5.89	12.79	0.86			
Xylopia_frutescens	biotic	19	12.75	0.59			
Xylopia_laevigata	biotic	4	15.9	0.591038			
Zanthoxylum_caribaeum	biotic	9.69	45.7	0.76			
Zanthoxylum_petiolare	biotic	6	10.9	0.78			
Zanthoxylum_rhoifolium	biotic	9	13.06	0.55			
Zeyheria_tuberculosa	abiotic	9	20.3	0.77			
Zollernia_ilicifolia	biotic	8	9.81	1.05			
